color,grey,pink,gold,nude,orange,white,blue,green,red,black,brown,yellow,purple
grey,0.9999999999999999,0.7387813767065741,0.811502671200689,0.9604880837110368,0.7609786277221365,1.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.0,0.710811581297725,0.8164965809277259,0.8858170449992716
pink,0.7387813767065741,1.0,0.7347096331258668,0.8344331383094455,0.8612083919007958,0.7387813767065742,0.3387194682727417,0.0,0.9408874118687268,0.0,0.9065618722808807,0.6653078692654367,0.8090028136846505
gold,0.811502671200689,0.7347096331258668,0.9999999999999998,0.930602504126204,0.966329777424186,0.8115026712006891,0.0,0.6246950475544242,0.7808688094430303,0.0,0.9195768791852732,0.9938837346736187,0.5434551120503167
nude,0.9604880837110368,0.8344331383094455,0.930602504126204,1.0,0.9114237483304347,0.9604880837110369,0.3629703624113421,0.5444555436170132,0.7561882550236294,0.0,0.8743211121204959,0.9196940499270287,0.8095118370704654
orange,0.7609786277221365,0.8612083919007958,0.966329777424186,0.9114237483304347,1.0000000000000002,0.7609786277221365,0.0,0.4027386142660169,0.9153150324227657,0.0,0.989712945510859,0.932004671541296,0.5849043966577216
white,1.0,0.7387813767065742,0.8115026712006891,0.9604880837110369,0.7609786277221365,1.0000000000000002,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.0,0.7108115812977251,0.816496580927726,0.8858170449992718
blue,0.5773502691896257,0.3387194682727417,0.0,0.3629703624113421,0.0,0.5773502691896258,1.0,0.0,0.0,0.0,0.0,0.0,0.8066833663465207
green,0.5773502691896257,0.0,0.6246950475544242,0.5444555436170132,0.4027386142660169,0.5773502691896258,0.0,1.0,0.0,0.0,0.2676438637860946,0.7071067811865475,0.15817320908755308
red,0.5773502691896257,0.9408874118687268,0.7808688094430303,0.7561882550236294,0.9153150324227657,0.5773502691896258,0.0,0.0,1.0,0.0,0.9635179096299407,0.7071067811865475,0.5694235527151912
black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brown,0.710811581297725,0.9065618722808807,0.9195768791852732,0.8743211121204959,0.989712945510859,0.7108115812977251,0.0,0.2676438637860946,0.9635179096299407,0.0,1.0,0.8705628387201342,0.5909838800338338
yellow,0.8164965809277259,0.6653078692654367,0.9938837346736187,0.9196940499270287,0.932004671541296,0.816496580927726,0.0,0.7071067811865475,0.7071067811865475,0.0,0.8705628387201342,0.9999999999999998,0.5144886042400936
purple,0.8858170449992716,0.8090028136846505,0.5434551120503167,0.8095118370704654,0.5849043966577216,0.8858170449992718,0.8066833663465207,0.15817320908755308,0.5694235527151912,0.0,0.5909838800338338,0.5144886042400936,0.9999999999999999
