Color,R,G,B,Sentiment,time_lex,space_lex,light_lex,time_sem,space_sem,light_sem
black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
black,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,,
black,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,
blue,0.0,0.0,150.0,0.172,0.0,0.0,0.0,0.7058823529411765,0.625,0.7058823529411765
blue,0.0,0.0,200.0,0.172,0.0,0.0,0.0,0.7058823529411765,0.625,0.7058823529411765
blue,0.0,0.0,250.0,0.172,0.0,0.0,0.0,0.7058823529411765,0.625,0.7058823529411765
black,0.0,50.0,0.0,0.0,0.0,0.0,0.0,,,
black,0.0,50.0,50.0,0.0,0.0,0.0,0.0,,,
black,0.0,50.0,100.0,0.0,0.0,0.0,0.0,,,
blue,0.0,50.0,150.0,0.172,0.0,0.0,0.0,0.7058823529411765,0.625,0.7058823529411765
blue,0.0,50.0,200.0,0.172,0.0,0.0,0.0,0.7058823529411765,0.625,0.7058823529411765
blue,0.0,50.0,250.0,0.172,0.0,0.0,0.0,0.7058823529411765,0.625,0.7058823529411765
black,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,,
black,0.0,100.0,50.0,0.0,0.0,0.0,0.0,,,
black,0.0,100.0,100.0,0.0,0.0,0.0,0.0,,,
blue,0.0,100.0,150.0,0.172,0.0,0.0,0.0,0.7058823529411765,0.625,0.7058823529411765
blue,0.0,100.0,200.0,0.172,0.0,0.0,0.0,0.7058823529411765,0.625,0.7058823529411765
blue,0.0,100.0,250.0,0.172,0.0,0.0,0.0,0.7058823529411765,0.625,0.7058823529411765
green,0.0,150.0,0.0,0.111,0.0,0.0,0.0,0.5,0.5,0.5
green,0.0,150.0,50.0,0.111,0.0,0.0,0.0,0.5,0.5,0.5
green,0.0,150.0,100.0,0.111,0.0,0.0,0.0,0.5,0.5,0.5
grey,0.0,150.0,150.0,0.089,0.0,0.0,0.0,0.5,0.5,0.5
blue,0.0,150.0,200.0,0.172,0.0,0.0,0.0,0.7058823529411765,0.625,0.7058823529411765
blue,0.0,150.0,250.0,0.172,0.0,0.0,0.0,0.7058823529411765,0.625,0.7058823529411765
green,0.0,200.0,0.0,0.111,0.0,0.0,0.0,0.5,0.5,0.5
green,0.0,200.0,50.0,0.111,0.0,0.0,0.0,0.5,0.5,0.5
green,0.0,200.0,100.0,0.111,0.0,0.0,0.0,0.5,0.5,0.5
green,0.0,200.0,150.0,0.111,0.0,0.0,0.0,0.5,0.5,0.5
grey,0.0,200.0,200.0,0.089,0.0,0.0,0.0,0.5,0.5,0.5
grey,0.0,200.0,250.0,0.089,0.0,0.0,0.0,0.5,0.5,0.5
