Color,R,G,B,time_lex,space_lex,light_lex,time_sem,space_sem,light_sem
grey,170.0,170.0,170.0,0.0,0.0,0.0,0.7481495549446645,0.7949206370495303,0.7967505014525068
pink,250.0,0.0,90.0,0.0,0.1781723970421547,0.0,0.8001100768575267,0.87137722338812,0.8389485615588061
gold,250.0,200.0,0.0,0.0,0.0,0.0,0.6946696273162043,0.7656771825468586,0.7673049351273732
nude,250.0,180.0,120.0,0.0,0.14580235900485677,0.0,0.7454977593358504,0.8100003632826217,0.8264235521900201
orange,250.0,110.0,0.0,0.0,0.1602644507160029,0.0,0.7675665996750191,0.8499511558971464,0.8302453373949139
white,255.0,255.0,255.0,0.0,0.0,0.0,0.6850958879650609,0.7748191861998737,0.7732452677213943
blue,0.0,0.0,255.0,0.0,0.14902845754813748,0.0,0.6718005129694411,0.7851546419642312,0.7261588659965025
green,0.0,255.0,0.0,0.0,0.0,0.0,0.7378280291550023,0.782003833623649,0.7864790322026468
red,255.0,0.0,0.0,0.0,0.17157941047074352,0.0,0.7644760128784546,0.8456493074741825,0.825447017786437
black,0.0,0.0,0.0,0.0,0.0,0.0,0.6957482186896492,0.7675887576828507,0.7974397983622793
brown,180.0,50.0,0.0,0.0,0.15541333333333332,0.0,0.8308465205905207,0.8869802554047261,0.8652509579831933
yellow,255.0,255.0,0.0,0.0,0.0,0.0,0.6912814801549104,0.7603175809372488,0.7647156798669908
purple,180.0,50.0,255.0,0.0,0.16074379008093198,0.0,0.6823273905144024,0.7960806507055351,0.7379220124578437
